,day,time,room
824,Tu,04:30PM - 05:20PM,"Rm 1032, LSK Bldg (45)"
825,Th,06:00PM - 06:50PM,"G021, LSK Bldg"
826,Tu,09:00AM - 10:20AM,"Rm 1032, LSK Bldg (45)"
827,Th,09:00AM - 10:20AM,"Rm 1032, LSK Bldg (45)"
828,Tu,09:00AM - 10:20AM,"Rm 1032, LSK Bldg (45)"
829,Th,09:00AM - 10:20AM,"Rm 1032, LSK Bldg (45)"
830,Tu,06:00PM - 06:50PM,"Rm 1014, LSK Bldg (80)"
831,We,01:30PM - 02:50PM,"Rm 1011, LSK Bldg (80)"
832,Fr,01:30PM - 02:50PM,"Rm 1011, LSK Bldg (80)"
833,Fr,01:30PM - 02:50PM,"Rm 1011, LSK Bldg (80)"
834,We,01:30PM - 02:50PM,"Rm 1011, LSK Bldg (80)"
835,Fr,01:30PM - 02:50PM,"Rm 1011, LSK Bldg (80)"
836,Fr,01:30PM - 02:50PM,"Rm 1011, LSK Bldg (80)"
837,Tu,12:00PM - 01:20PM,"Rm 2405, Lift 17-18 (92)"
838,Th,12:00PM - 01:20PM,"Rm 2405, Lift 17-18 (92)"
839,Tu,12:00PM - 01:20PM,"Rm 2405, Lift 17-18 (92)"
840,Th,12:00PM - 01:20PM,"Rm 2405, Lift 17-18 (92)"
841,Th,05:00PM - 05:50PM,"Rm 1032, LSK Bldg (45)"
842,Tu,10:30AM - 11:50AM,"Rm 1007, LSK Bldg (80)"
843,Th,10:30AM - 11:50AM,"Rm 1007, LSK Bldg (80)"
844,Tu,10:30AM - 11:50AM,"Rm 1007, LSK Bldg (80)"
845,Th,10:30AM - 11:50AM,"Rm 1007, LSK Bldg (80)"
846,Tu,12:00PM - 01:20PM,"Rm 1032, LSK Bldg (45)"
847,Th,12:00PM - 01:20PM,"Rm 1032, LSK Bldg (45)"
848,Tu,12:00PM - 01:20PM,"Rm 1032, LSK Bldg (45)"
849,Th,12:00PM - 01:20PM,"Rm 1032, LSK Bldg (45)"
850,Tu,01:30PM - 02:50PM,"Rm 1034, LSK Bldg (80)"
851,Th,01:30PM - 02:50PM,"Rm 1034, LSK Bldg (80)"
852,Tu,01:30PM - 02:50PM,"Rm 1034, LSK Bldg (80)"
853,Th,01:30PM - 02:50PM,"Rm 1034, LSK Bldg (80)"
854,Tu,02:00PM - 05:20PM,"Rm 5583, Lift 29-30 (80)"
855,Tu,09:00AM - 12:20PM,"Rm 2001, LSK Bldg"
856,Th,09:00AM - 12:20PM,"G001, LSK Bldg (70)"
