,day,time,room
2061,Fr,03:00PM - 04:20PM,"Rm 2131B, Lift 19 (28)"
2062,We,03:00PM - 04:20PM,"Rm 2131B, Lift 19 (28)"
2063,Fr,03:00PM - 04:20PM,"Rm 2131B, Lift 19 (28)"
2064,Fr,03:00PM - 04:20PM,"Rm 2131B, Lift 19 (28)"
2065,We,04:30PM - 05:50PM,"Rm 2127C, Lift 19 (28)"
2066,Fr,04:30PM - 05:50PM,"Rm 2127C, Lift 19 (28)"
2067,Fr,04:30PM - 05:50PM,"Rm 2127C, Lift 19 (28)"
2068,We,04:30PM - 05:50PM,"Rm 2127C, Lift 19 (28)"
2069,Fr,04:30PM - 05:50PM,"Rm 2127C, Lift 19 (28)"
2070,Fr,04:30PM - 05:50PM,"Rm 2127C, Lift 19 (28)"
2071,We,04:30PM - 05:50PM,"Rm 2128A, Lift 19 (28)"
2072,Fr,04:30PM - 05:50PM,"Rm 2128A, Lift 19 (28)"
2073,Fr,04:30PM - 05:50PM,"Rm 2128A, Lift 19 (28)"
2074,We,04:30PM - 05:50PM,"Rm 2128A, Lift 19 (28)"
2075,Fr,04:30PM - 05:50PM,"Rm 2128A, Lift 19 (28)"
2076,Fr,04:30PM - 05:50PM,"Rm 2128A, Lift 19 (28)"
2077,We,04:30PM - 05:50PM,"Rm 2128B, Lift 19 (28)"
2078,Fr,04:30PM - 05:50PM,"Rm 2128B, Lift 19 (28)"
2079,Fr,04:30PM - 05:50PM,"Rm 2128B, Lift 19 (28)"
2080,We,04:30PM - 05:50PM,"Rm 2128B, Lift 19 (28)"
2081,Fr,04:30PM - 05:50PM,"Rm 2128B, Lift 19 (28)"
2082,Fr,04:30PM - 05:50PM,"Rm 2128B, Lift 19 (28)"
2083,We,04:30PM - 05:50PM,"Rm 2128C, Lift 19 (28)"
2084,Fr,04:30PM - 05:50PM,"Rm 2128C, Lift 19 (28)"
2085,Fr,04:30PM - 05:50PM,"Rm 2128C, Lift 19 (28)"
2086,We,04:30PM - 05:50PM,"Rm 2128C, Lift 19 (28)"
2087,Fr,04:30PM - 05:50PM,"Rm 2128C, Lift 19 (28)"
2088,Fr,04:30PM - 05:50PM,"Rm 2128C, Lift 19 (28)"
2089,We,04:30PM - 05:50PM,"Rm 2129A, Lift 19 (28)"
2090,Fr,04:30PM - 05:50PM,"Rm 2129A, Lift 19 (28)"
2091,Fr,04:30PM - 05:50PM,"Rm 2129A, Lift 19 (28)"
2092,We,04:30PM - 05:50PM,"Rm 2129A, Lift 19 (28)"
2093,Fr,04:30PM - 05:50PM,"Rm 2129A, Lift 19 (28)"
2094,Fr,04:30PM - 05:50PM,"Rm 2129A, Lift 19 (28)"
2095,Mo,10:30AM - 11:50AM,"Rm 2127A, Lift 19 (28)"
2096,We,10:30AM - 11:50AM,"Rm 2127A, Lift 19 (28)"
2097,We,10:30AM - 11:50AM,"Rm 2127A, Lift 19 (28)"
2098,Mo,10:30AM - 11:50AM,"Rm 2127A, Lift 19 (28)"
2099,We,10:30AM - 11:50AM,"Rm 2127A, Lift 19 (28)"
2100,We,10:30AM - 11:50AM,"Rm 2127A, Lift 19 (28)"
2101,We,01:30PM - 02:50PM,"Rm 2128A, Lift 19 (28)"
2102,Fr,01:30PM - 02:50PM,"Rm 2128A, Lift 19 (28)"
2103,Fr,01:30PM - 02:50PM,"Rm 2128A, Lift 19 (28)"
2104,We,01:30PM - 02:50PM,"Rm 2128A, Lift 19 (28)"
2105,Fr,01:30PM - 02:50PM,"Rm 2128A, Lift 19 (28)"
2106,Fr,01:30PM - 02:50PM,"Rm 2128A, Lift 19 (28)"
2107,We,01:30PM - 02:50PM,"Rm 2127B, Lift 19 (28)"
2108,Fr,01:30PM - 02:50PM,"Rm 2127B, Lift 19 (28)"
2109,Fr,01:30PM - 02:50PM,"Rm 2127B, Lift 19 (28)"
2110,We,01:30PM - 02:50PM,"Rm 2127B, Lift 19 (28)"
2111,Fr,01:30PM - 02:50PM,"Rm 2127B, Lift 19 (28)"
2112,Fr,01:30PM - 02:50PM,"Rm 2127B, Lift 19 (28)"
2113,We,01:30PM - 02:50PM,"Rm 2128C, Lift 19 (28)"
2114,Fr,01:30PM - 02:50PM,"Rm 2128C, Lift 19 (28)"
2115,Fr,01:30PM - 02:50PM,"Rm 2128C, Lift 19 (28)"
2116,We,01:30PM - 02:50PM,"Rm 2128C, Lift 19 (28)"
2117,Fr,01:30PM - 02:50PM,"Rm 2128C, Lift 19 (28)"
2118,Fr,01:30PM - 02:50PM,"Rm 2128C, Lift 19 (28)"
2119,We,01:30PM - 02:50PM,"Rm 2129A, Lift 19 (28)"
2120,Fr,01:30PM - 02:50PM,"Rm 2129A, Lift 19 (28)"
2121,Fr,01:30PM - 02:50PM,"Rm 2129A, Lift 19 (28)"
2122,We,01:30PM - 02:50PM,"Rm 2129A, Lift 19 (28)"
2123,Fr,01:30PM - 02:50PM,"Rm 2129A, Lift 19 (28)"
2124,Fr,01:30PM - 02:50PM,"Rm 2129A, Lift 19 (28)"
2125,We,01:30PM - 02:50PM,"Rm 2129B, Lift 19 (28)"
2126,Fr,01:30PM - 02:50PM,"Rm 2129B, Lift 19 (28)"
2127,Fr,01:30PM - 02:50PM,"Rm 2129B, Lift 19 (28)"
2128,We,01:30PM - 02:50PM,"Rm 2129B, Lift 19 (28)"
2129,Fr,01:30PM - 02:50PM,"Rm 2129B, Lift 19 (28)"
2130,Fr,01:30PM - 02:50PM,"Rm 2129B, Lift 19 (28)"
2131,We,03:00PM - 04:20PM,"Rm 2130A, Lift 19 (28)"
2132,Fr,03:00PM - 04:20PM,"Rm 2130A, Lift 19 (28)"
2133,Fr,03:00PM - 04:20PM,"Rm 2130A, Lift 19 (28)"
2134,We,03:00PM - 04:20PM,"Rm 2130A, Lift 19 (28)"
2135,Fr,03:00PM - 04:20PM,"Rm 2130A, Lift 19 (28)"
2136,Fr,03:00PM - 04:20PM,"Rm 2130A, Lift 19 (28)"
2137,We,03:00PM - 04:20PM,"Rm 2130B, Lift 19 (28)"
2138,Fr,03:00PM - 04:20PM,"Rm 2130B, Lift 19 (28)"
2139,Fr,03:00PM - 04:20PM,"Rm 2130B, Lift 19 (28)"
2140,We,03:00PM - 04:20PM,"Rm 2130B, Lift 19 (28)"
2141,Fr,03:00PM - 04:20PM,"Rm 2130B, Lift 19 (28)"
2142,Fr,03:00PM - 04:20PM,"Rm 2130B, Lift 19 (28)"
2143,We,03:00PM - 04:20PM,"Rm 2130C, Lift 19 (28)"
2144,Fr,03:00PM - 04:20PM,"Rm 2130C, Lift 19 (28)"
2145,Fr,03:00PM - 04:20PM,"Rm 2130C, Lift 19 (28)"
2146,We,03:00PM - 04:20PM,"Rm 2130C, Lift 19 (28)"
2147,Fr,03:00PM - 04:20PM,"Rm 2130C, Lift 19 (28)"
2148,Fr,03:00PM - 04:20PM,"Rm 2130C, Lift 19 (28)"
2149,Tu,03:00PM - 04:20PM,"Rm 2130A, Lift 19 (28)"
2150,Th,03:00PM - 04:20PM,"Rm 2130A, Lift 19 (28)"
2151,Tu,03:00PM - 04:20PM,"Rm 2130A, Lift 19 (28)"
2152,Th,03:00PM - 04:20PM,"Rm 2130A, Lift 19 (28)"
2153,Tu,03:00PM - 04:20PM,"Rm 2130B, Lift 19 (28)"
2154,Th,03:00PM - 04:20PM,"Rm 2130B, Lift 19 (28)"
2155,Tu,03:00PM - 04:20PM,"Rm 2130B, Lift 19 (28)"
2156,Th,03:00PM - 04:20PM,"Rm 2130B, Lift 19 (28)"
2157,Tu,03:00PM - 04:20PM,"Rm 2130C, Lift 19 (28)"
2158,Th,03:00PM - 04:20PM,"Rm 2130C, Lift 19 (28)"
2159,Tu,03:00PM - 04:20PM,"Rm 2130C, Lift 19 (28)"
2160,Th,03:00PM - 04:20PM,"Rm 2130C, Lift 19 (28)"
2161,Tu,04:30PM - 05:50PM,"Rm 2129B, Lift 19 (28)"
2162,Th,04:30PM - 05:50PM,"Rm 2129B, Lift 19 (28)"
2163,Tu,04:30PM - 05:50PM,"Rm 2129B, Lift 19 (28)"
2164,Th,04:30PM - 05:50PM,"Rm 2129B, Lift 19 (28)"
2165,Tu,04:30PM - 05:50PM,"Rm 2129C, Lift 19 (28)"
2166,Th,04:30PM - 05:50PM,"Rm 2129C, Lift 19 (28)"
2167,Tu,04:30PM - 05:50PM,"Rm 2129C, Lift 19 (28)"
2168,Th,04:30PM - 05:50PM,"Rm 2129C, Lift 19 (28)"
2169,Tu,04:30PM - 05:50PM,"Rm 2130A, Lift 19 (28)"
2170,Th,04:30PM - 05:50PM,"Rm 2130A, Lift 19 (28)"
2171,Tu,04:30PM - 05:50PM,"Rm 2130A, Lift 19 (28)"
2172,Th,04:30PM - 05:50PM,"Rm 2130A, Lift 19 (28)"
2173,Tu,04:30PM - 05:50PM,"Rm 2130B, Lift 19 (28)"
2174,Th,04:30PM - 05:50PM,"Rm 2130B, Lift 19 (28)"
2175,Tu,04:30PM - 05:50PM,"Rm 2130B, Lift 19 (28)"
2176,Th,04:30PM - 05:50PM,"Rm 2130B, Lift 19 (28)"
2177,Tu,04:30PM - 05:50PM,"Rm 2130C, Lift 19 (28)"
2178,Th,04:30PM - 05:50PM,"Rm 2130C, Lift 19 (28)"
2179,Tu,04:30PM - 05:50PM,"Rm 2130C, Lift 19 (28)"
2180,Th,04:30PM - 05:50PM,"Rm 2130C, Lift 19 (28)"
2181,Tu,12:00PM - 01:20PM,"Rm 2130B, Lift 19 (28)"
2182,Th,12:00PM - 01:20PM,"Rm 2130B, Lift 19 (28)"
2183,Tu,12:00PM - 01:20PM,"Rm 2130B, Lift 19 (28)"
2184,Th,12:00PM - 01:20PM,"Rm 2130B, Lift 19 (28)"
2185,Tu,01:30PM - 02:50PM,"Rm 2129B, Lift 19 (28)"
2186,Th,01:30PM - 02:50PM,"Rm 2129B, Lift 19 (28)"
2187,Tu,01:30PM - 02:50PM,"Rm 2129B, Lift 19 (28)"
2188,Th,01:30PM - 02:50PM,"Rm 2129B, Lift 19 (28)"
2189,Tu,01:30PM - 02:50PM,"Rm 2129C, Lift 19 (28)"
2190,Th,01:30PM - 02:50PM,"Rm 2129C, Lift 19 (28)"
2191,Tu,01:30PM - 02:50PM,"Rm 2129C, Lift 19 (28)"
2192,Th,01:30PM - 02:50PM,"Rm 2129C, Lift 19 (28)"
2193,Tu,01:30PM - 02:50PM,"Rm 2130A, Lift 19 (28)"
2194,Th,01:30PM - 02:50PM,"Rm 2130A, Lift 19 (28)"
2195,Tu,01:30PM - 02:50PM,"Rm 2130A, Lift 19 (28)"
2196,Th,01:30PM - 02:50PM,"Rm 2130A, Lift 19 (28)"
2197,Tu,01:30PM - 02:50PM,"Rm 2130B, Lift 19 (28)"
2198,Th,01:30PM - 02:50PM,"Rm 2130B, Lift 19 (28)"
2199,Tu,01:30PM - 02:50PM,"Rm 2130B, Lift 19 (28)"
2200,Th,01:30PM - 02:50PM,"Rm 2130B, Lift 19 (28)"
2201,Tu,01:30PM - 02:50PM,"Rm 2130C, Lift 19 (28)"
2202,Th,01:30PM - 02:50PM,"Rm 2130C, Lift 19 (28)"
2203,Tu,01:30PM - 02:50PM,"Rm 2130C, Lift 19 (28)"
2204,Th,01:30PM - 02:50PM,"Rm 2130C, Lift 19 (28)"
2205,Tu,03:00PM - 04:20PM,"Rm 2129B, Lift 19 (28)"
2206,Th,03:00PM - 04:20PM,"Rm 2129B, Lift 19 (28)"
2207,Tu,03:00PM - 04:20PM,"Rm 2129B, Lift 19 (28)"
2208,Th,03:00PM - 04:20PM,"Rm 2129B, Lift 19 (28)"
2209,Tu,03:00PM - 04:20PM,"Rm 2129C, Lift 19 (28)"
2210,Th,03:00PM - 04:20PM,"Rm 2129C, Lift 19 (28)"
2211,Tu,03:00PM - 04:20PM,"Rm 2129C, Lift 19 (28)"
2212,Th,03:00PM - 04:20PM,"Rm 2129C, Lift 19 (28)"
2213,Tu,10:30AM - 11:50AM,"Rm 2130C, Lift 19 (28)"
2214,Th,10:30AM - 11:50AM,"Rm 2130C, Lift 19 (28)"
2215,Tu,10:30AM - 11:50AM,"Rm 2130C, Lift 19 (28)"
2216,Th,10:30AM - 11:50AM,"Rm 2130C, Lift 19 (28)"
2217,Tu,10:30AM - 11:50AM,"Rm 2131A, Lift 19 (28)"
2218,Th,10:30AM - 11:50AM,"Rm 2131A, Lift 19 (28)"
2219,Tu,10:30AM - 11:50AM,"Rm 2131A, Lift 19 (28)"
2220,Th,10:30AM - 11:50AM,"Rm 2131A, Lift 19 (28)"
2221,Tu,10:30AM - 11:50AM,"Rm 2131B, Lift 19 (28)"
2222,Th,10:30AM - 11:50AM,"Rm 2131B, Lift 19 (28)"
2223,Tu,10:30AM - 11:50AM,"Rm 2131B, Lift 19 (28)"
2224,Th,10:30AM - 11:50AM,"Rm 2131B, Lift 19 (28)"
2225,Tu,10:30AM - 11:50AM,"Rm 2131C, Lift 19 (28)"
2226,Th,10:30AM - 11:50AM,"Rm 2131C, Lift 19 (28)"
2227,Tu,10:30AM - 11:50AM,"Rm 2131C, Lift 19 (28)"
2228,Th,10:30AM - 11:50AM,"Rm 2131C, Lift 19 (28)"
2229,Tu,12:00PM - 01:20PM,"Rm 2129A, Lift 19 (28)"
2230,Th,12:00PM - 01:20PM,"Rm 2129A, Lift 19 (28)"
2231,Tu,12:00PM - 01:20PM,"Rm 2129A, Lift 19 (28)"
2232,Th,12:00PM - 01:20PM,"Rm 2129A, Lift 19 (28)"
2233,Tu,12:00PM - 01:20PM,"Rm 2129B, Lift 19 (28)"
2234,Th,12:00PM - 01:20PM,"Rm 2129B, Lift 19 (28)"
2235,Tu,12:00PM - 01:20PM,"Rm 2129B, Lift 19 (28)"
2236,Th,12:00PM - 01:20PM,"Rm 2129B, Lift 19 (28)"
2237,Tu,12:00PM - 01:20PM,"Rm 2129C, Lift 19 (28)"
2238,Th,12:00PM - 01:20PM,"Rm 2129C, Lift 19 (28)"
2239,Tu,12:00PM - 01:20PM,"Rm 2129C, Lift 19 (28)"
2240,Th,12:00PM - 01:20PM,"Rm 2129C, Lift 19 (28)"
2241,Tu,12:00PM - 01:20PM,"Rm 2130A, Lift 19 (28)"
2242,Th,12:00PM - 01:20PM,"Rm 2130A, Lift 19 (28)"
2243,Tu,12:00PM - 01:20PM,"Rm 2130A, Lift 19 (28)"
2244,Th,12:00PM - 01:20PM,"Rm 2130A, Lift 19 (28)"
2245,Tu,09:00AM - 10:20AM,"Rm 2132A, Lift 19 (28)"
2246,Th,09:00AM - 10:20AM,"Rm 2132A, Lift 19 (28)"
2247,Tu,09:00AM - 10:20AM,"Rm 2132A, Lift 19 (28)"
2248,Th,09:00AM - 10:20AM,"Rm 2132A, Lift 19 (28)"
2249,Tu,09:00AM - 10:20AM,"Rm 2132B, Lift 19 (28)"
2250,Th,09:00AM - 10:20AM,"Rm 2132B, Lift 19 (28)"
2251,Tu,09:00AM - 10:20AM,"Rm 2132B, Lift 19 (28)"
2252,Th,09:00AM - 10:20AM,"Rm 2132B, Lift 19 (28)"
2253,Tu,09:00AM - 10:20AM,"Rm 2132C, Lift 19 (28)"
2254,Th,09:00AM - 10:20AM,"Rm 2132C, Lift 19 (28)"
2255,Tu,09:00AM - 10:20AM,"Rm 2132C, Lift 19 (28)"
2256,Th,09:00AM - 10:20AM,"Rm 2132C, Lift 19 (28)"
2257,Tu,09:00AM - 10:20AM,"Rm 2611, Lift 31-32 (28)"
2258,Th,09:00AM - 10:20AM,"Rm 2611, Lift 31-32 (28)"
2259,Tu,09:00AM - 10:20AM,"Rm 2611, Lift 31-32 (28)"
2260,Th,09:00AM - 10:20AM,"Rm 2611, Lift 31-32 (28)"
2261,Tu,10:30AM - 11:50AM,"Rm 2130B, Lift 19 (28)"
2262,Th,10:30AM - 11:50AM,"Rm 2130B, Lift 19 (28)"
2263,Tu,10:30AM - 11:50AM,"Rm 2130B, Lift 19 (28)"
2264,Th,10:30AM - 11:50AM,"Rm 2130B, Lift 19 (28)"
2265,Mo,09:00AM - 10:20AM,"Rm 2128B, Lift 19 (28)"
2266,We,09:00AM - 10:20AM,"Rm 2128B, Lift 19 (28)"
2267,We,09:00AM - 10:20AM,"Rm 2128B, Lift 19 (28)"
2268,Mo,09:00AM - 10:20AM,"Rm 2128B, Lift 19 (28)"
2269,We,09:00AM - 10:20AM,"Rm 2128B, Lift 19 (28)"
2270,We,09:00AM - 10:20AM,"Rm 2128B, Lift 19 (28)"
2271,Tu,10:30AM - 11:50AM,"Rm 2132C, Lift 19 (28)"
2272,Th,10:30AM - 11:50AM,"Rm 2132C, Lift 19 (28)"
2273,Tu,10:30AM - 11:50AM,"Rm 2132C, Lift 19 (28)"
2274,Th,10:30AM - 11:50AM,"Rm 2132C, Lift 19 (28)"
2275,Tu,01:30PM - 02:50PM,"Rm 2131B, Lift 19 (28)"
2276,Th,01:30PM - 02:50PM,"Rm 2131B, Lift 19 (28)"
2277,Tu,01:30PM - 02:50PM,"Rm 2131B, Lift 19 (28)"
2278,Th,01:30PM - 02:50PM,"Rm 2131B, Lift 19 (28)"
2279,Mo,10:30AM - 11:50AM,"Rm 5501, Lift 25-26 (20)"
2280,We,10:30AM - 11:50AM,"Rm 5501, Lift 25-26 (20)"
2281,We,10:30AM - 11:50AM,"Rm 5501, Lift 25-26 (20)"
2282,Mo,10:30AM - 11:50AM,"Rm 5501, Lift 25-26 (20)"
2283,We,10:30AM - 11:50AM,"Rm 5501, Lift 25-26 (20)"
2284,We,10:30AM - 11:50AM,"Rm 5501, Lift 25-26 (20)"
2285,Tu,09:00AM - 10:20AM,"Rm 2126D, Lift 19 (34)"
2286,Th,09:00AM - 10:20AM,"Rm 2126D, Lift 19 (34)"
2287,Tu,09:00AM - 10:20AM,"Rm 2126D, Lift 19 (34)"
2288,Th,09:00AM - 10:20AM,"Rm 2126D, Lift 19 (34)"
2289,Tu,01:30PM - 02:50PM,"Rm 4582, Lift 27-28 (66)"
2290,Tu,12:00PM - 01:20PM,"Rm 2128A, Lift 19 (28)"
2291,Th,12:00PM - 01:20PM,"Rm 2128A, Lift 19 (28)"
2292,Tu,12:00PM - 01:20PM,"Rm 2128A, Lift 19 (28)"
2293,Th,12:00PM - 01:20PM,"Rm 2128A, Lift 19 (28)"
2294,Tu,10:30AM - 11:50AM,"Rm 2129A, Lift 19 (28)"
2295,Th,10:30AM - 11:50AM,"Rm 2129A, Lift 19 (28)"
2296,Tu,10:30AM - 11:50AM,"Rm 2129A, Lift 19 (28)"
2297,Th,10:30AM - 11:50AM,"Rm 2129A, Lift 19 (28)"
2298,Tu,03:00PM - 04:20PM,"Rm 2128B, Lift 19 (28)"
2299,Th,03:00PM - 04:20PM,"Rm 2128B, Lift 19 (28)"
2300,Tu,03:00PM - 04:20PM,"Rm 2128B, Lift 19 (28)"
2301,Th,03:00PM - 04:20PM,"Rm 2128B, Lift 19 (28)"
2302,Mo,12:00PM - 01:20PM,"Rm 2129C, Lift 19 (28)"
2303,We,12:00PM - 01:20PM,"Rm 2129C, Lift 19 (28)"
2304,We,12:00PM - 01:20PM,"Rm 2129C, Lift 19 (28)"
2305,Mo,12:00PM - 01:20PM,"Rm 2129C, Lift 19 (28)"
2306,We,12:00PM - 01:20PM,"Rm 2129C, Lift 19 (28)"
2307,We,12:00PM - 01:20PM,"Rm 2129C, Lift 19 (28)"
2308,We,03:00PM - 04:20PM,"Rm 2129A, Lift 19 (28)"
2309,Fr,03:00PM - 04:20PM,"Rm 2129A, Lift 19 (28)"
2310,Fr,03:00PM - 04:20PM,"Rm 2129A, Lift 19 (28)"
2311,We,03:00PM - 04:20PM,"Rm 2129A, Lift 19 (28)"
2312,Fr,03:00PM - 04:20PM,"Rm 2129A, Lift 19 (28)"
2313,Fr,03:00PM - 04:20PM,"Rm 2129A, Lift 19 (28)"
2314,We,04:30PM - 05:50PM,"Rm 2126C, Lift 19 (28)"
2315,Fr,04:30PM - 05:50PM,"Rm 2126C, Lift 19 (28)"
2316,Fr,04:30PM - 05:50PM,"Rm 2126C, Lift 19 (28)"
2317,We,04:30PM - 05:50PM,"Rm 2126C, Lift 19 (28)"
2318,Fr,04:30PM - 05:50PM,"Rm 2126C, Lift 19 (28)"
2319,Fr,04:30PM - 05:50PM,"Rm 2126C, Lift 19 (28)"
2320,Mo,10:30AM - 11:50AM,"Rm 2130C, Lift 19 (28)"
2321,We,10:30AM - 11:50AM,"Rm 2130C, Lift 19 (28)"
2322,We,10:30AM - 11:50AM,"Rm 2130C, Lift 19 (28)"
2323,Mo,10:30AM - 11:50AM,"Rm 2130C, Lift 19 (28)"
2324,We,10:30AM - 11:50AM,"Rm 2130C, Lift 19 (28)"
2325,We,10:30AM - 11:50AM,"Rm 2130C, Lift 19 (28)"
2326,We,04:30PM - 05:50PM,"Rm 2129B, Lift 19 (28)"
2327,Fr,04:30PM - 05:50PM,"Rm 2129B, Lift 19 (28)"
2328,Fr,04:30PM - 05:50PM,"Rm 2129B, Lift 19 (28)"
2329,We,04:30PM - 05:50PM,"Rm 2129B, Lift 19 (28)"
2330,Fr,04:30PM - 05:50PM,"Rm 2129B, Lift 19 (28)"
2331,Fr,04:30PM - 05:50PM,"Rm 2129B, Lift 19 (28)"
2332,Mo,09:00AM - 10:20AM,"Rm 2132B, Lift 19 (28)"
2333,We,09:00AM - 10:20AM,"Rm 2132B, Lift 19 (28)"
2334,We,09:00AM - 10:20AM,"Rm 2132B, Lift 19 (28)"
2335,Mo,09:00AM - 10:20AM,"Rm 2132B, Lift 19 (28)"
2336,We,09:00AM - 10:20AM,"Rm 2132B, Lift 19 (28)"
2337,We,09:00AM - 10:20AM,"Rm 2132B, Lift 19 (28)"
2338,We,03:00PM - 04:20PM,"Rm 2129B, Lift 19 (28)"
2339,Fr,03:00PM - 04:20PM,"Rm 2129B, Lift 19 (28)"
2340,Fr,03:00PM - 04:20PM,"Rm 2129B, Lift 19 (28)"
2341,We,03:00PM - 04:20PM,"Rm 2129B, Lift 19 (28)"
2342,Fr,03:00PM - 04:20PM,"Rm 2129B, Lift 19 (28)"
2343,Fr,03:00PM - 04:20PM,"Rm 2129B, Lift 19 (28)"
2344,Tu,04:30PM - 05:50PM,"Rm 2128B, Lift 19 (28)"
2345,Th,04:30PM - 05:50PM,"Rm 2128B, Lift 19 (28)"
2346,Tu,04:30PM - 05:50PM,"Rm 2128B, Lift 19 (28)"
2347,Th,04:30PM - 05:50PM,"Rm 2128B, Lift 19 (28)"
2348,Mo,10:30AM - 11:50AM,"Rm 2132C, Lift 19 (28)"
2349,We,10:30AM - 11:50AM,"Rm 2132C, Lift 19 (28)"
2350,We,10:30AM - 11:50AM,"Rm 2132C, Lift 19 (28)"
2351,Mo,10:30AM - 11:50AM,"Rm 2132C, Lift 19 (28)"
2352,We,10:30AM - 11:50AM,"Rm 2132C, Lift 19 (28)"
2353,We,10:30AM - 11:50AM,"Rm 2132C, Lift 19 (28)"
2354,Mo,10:30AM - 11:50AM,"Rm 2132B, Lift 19 (28)"
2355,We,10:30AM - 11:50AM,"Rm 2132B, Lift 19 (28)"
2356,We,10:30AM - 11:50AM,"Rm 2132B, Lift 19 (28)"
2357,Mo,10:30AM - 11:50AM,"Rm 2132B, Lift 19 (28)"
2358,We,10:30AM - 11:50AM,"Rm 2132B, Lift 19 (28)"
2359,We,10:30AM - 11:50AM,"Rm 2132B, Lift 19 (28)"
2360,We,01:30PM - 02:50PM,"Rm 2132B, Lift 19 (28)"
2361,Fr,01:30PM - 02:50PM,"Rm 2132B, Lift 19 (28)"
2362,Fr,01:30PM - 02:50PM,"Rm 2132B, Lift 19 (28)"
2363,We,01:30PM - 02:50PM,"Rm 2132B, Lift 19 (28)"
2364,Fr,01:30PM - 02:50PM,"Rm 2132B, Lift 19 (28)"
2365,Fr,01:30PM - 02:50PM,"Rm 2132B, Lift 19 (28)"
2366,Tu,09:00AM - 10:20AM,"Rm 2131B, Lift 19 (28)"
2367,Th,09:00AM - 10:20AM,"Rm 2131B, Lift 19 (28)"
2368,Tu,09:00AM - 10:20AM,"Rm 2131B, Lift 19 (28)"
2369,Th,09:00AM - 10:20AM,"Rm 2131B, Lift 19 (28)"
2370,Tu,10:30AM - 11:50AM,"Rm 2128B, Lift 19 (28)"
2371,Th,10:30AM - 11:50AM,"Rm 2128B, Lift 19 (28)"
2372,Tu,10:30AM - 11:50AM,"Rm 2128B, Lift 19 (28)"
2373,Th,10:30AM - 11:50AM,"Rm 2128B, Lift 19 (28)"
2374,Tu,12:00PM - 01:20PM,"Rm 2128B, Lift 19 (28)"
2375,Th,12:00PM - 01:20PM,"Rm 2128B, Lift 19 (28)"
2376,Tu,12:00PM - 01:20PM,"Rm 2128B, Lift 19 (28)"
2377,Th,12:00PM - 01:20PM,"Rm 2128B, Lift 19 (28)"
2378,Tu,01:30PM - 02:50PM,"Rm 2128B, Lift 19 (28)"
2379,Th,01:30PM - 02:50PM,"Rm 2128B, Lift 19 (28)"
2380,Tu,01:30PM - 02:50PM,"Rm 2128B, Lift 19 (28)"
2381,Th,01:30PM - 02:50PM,"Rm 2128B, Lift 19 (28)"
2382,Tu,01:30PM - 02:50PM,"Rm 2128C, Lift 19 (28)"
2383,Th,01:30PM - 02:50PM,"Rm 2128C, Lift 19 (28)"
2384,Tu,01:30PM - 02:50PM,"Rm 2128C, Lift 19 (28)"
2385,Th,01:30PM - 02:50PM,"Rm 2128C, Lift 19 (28)"
2386,Tu,09:00AM - 10:20AM,"Rm 2127C, Lift 19 (28)"
2387,Th,09:00AM - 10:20AM,"Rm 2127C, Lift 19 (28)"
2388,Tu,09:00AM - 10:20AM,"Rm 2127C, Lift 19 (28)"
2389,Th,09:00AM - 10:20AM,"Rm 2127C, Lift 19 (28)"
2390,Tu,03:00PM - 04:20PM,"Rm 2128C, Lift 19 (28)"
2391,Th,03:00PM - 04:20PM,"Rm 2128C, Lift 19 (28)"
2392,Tu,03:00PM - 04:20PM,"Rm 2128C, Lift 19 (28)"
2393,Th,03:00PM - 04:20PM,"Rm 2128C, Lift 19 (28)"
2394,Mo,12:00PM - 01:20PM,"Rm 2132B, Lift 19 (28)"
2395,We,12:00PM - 01:20PM,"Rm 2132B, Lift 19 (28)"
2396,We,12:00PM - 01:20PM,"Rm 2132B, Lift 19 (28)"
2397,Mo,12:00PM - 01:20PM,"Rm 2132B, Lift 19 (28)"
2398,We,12:00PM - 01:20PM,"Rm 2132B, Lift 19 (28)"
2399,We,12:00PM - 01:20PM,"Rm 2132B, Lift 19 (28)"
2400,We,03:00PM - 04:20PM,"Rm 2131C, Lift 19 (28)"
2401,Fr,03:00PM - 04:20PM,"Rm 2131C, Lift 19 (28)"
2402,Fr,03:00PM - 04:20PM,"Rm 2131C, Lift 19 (28)"
2403,We,03:00PM - 04:20PM,"Rm 2131C, Lift 19 (28)"
2404,Fr,03:00PM - 04:20PM,"Rm 2131C, Lift 19 (28)"
2405,Fr,03:00PM - 04:20PM,"Rm 2131C, Lift 19 (28)"
2406,Tu,04:30PM - 05:50PM,"Rm 2128A, Lift 19 (28)"
2407,Th,04:30PM - 05:50PM,"Rm 2128A, Lift 19 (28)"
2408,Tu,04:30PM - 05:50PM,"Rm 2128A, Lift 19 (28)"
2409,Th,04:30PM - 05:50PM,"Rm 2128A, Lift 19 (28)"
2410,Tu,01:30PM - 02:50PM,"Rm 2128A, Lift 19 (28)"
2411,Th,01:30PM - 02:50PM,"Rm 2128A, Lift 19 (28)"
2412,Tu,01:30PM - 02:50PM,"Rm 2128A, Lift 19 (28)"
2413,Th,01:30PM - 02:50PM,"Rm 2128A, Lift 19 (28)"
2414,Tu,09:00AM - 10:20AM,"Rm 2130A, Lift 19 (28)"
2415,Th,09:00AM - 10:20AM,"Rm 2130A, Lift 19 (28)"
